Date,Open,High,Low,Close,Volume
2010-01-04,54.0,54.5,54.0,54.5,7628
2010-01-05,54.59,54.88,54.59,54.88,9883
2010-01-06,54.77,55.18,54.77,55.11,14421
2010-01-07,55.0,55.63,54.94,55.54,31662
2010-01-08,55.32,55.41,55.2,55.41,53002
2010-01-11,55.82,55.85,55.63,55.8,53688
2010-01-12,55.38,55.5,55.11,55.31,47958
2010-01-13,55.51,55.81,55.23,55.74,11497
2010-01-14,55.62,55.87,55.55,55.82,20504
2010-01-15,,,,55.2,0
2010-01-19,55.0,55.85,54.0,55.85,38817
2010-01-20,55.58,55.58,55.09,55.45,26747
2010-01-21,55.26,55.35,54.0,54.16,27062
2010-01-22,53.86,54.17,52.97,52.97,30182
2010-01-25,53.63,53.63,53.15,53.15,70958
2010-01-26,52.99,53.44,52.91,52.94,34436
2010-01-27,52.91,53.34,52.17,53.34,15843
2010-01-28,53.59,53.59,52.57,52.8,8744
2010-01-29,53.01,53.33,52.4,52.43,16165
2010-02-01,52.88,53.12,52.76,53.12,18515
2010-02-02,53.29,53.97,53.14,53.97,17133
2010-02-03,53.64,53.87,53.37,53.52,44090
2010-02-04,52.99,52.99,51.77,51.78,36153
2010-02-05,51.74,51.92,50.57,51.65,75346
2010-02-08,51.73,51.89,51.37,51.37,6838
2010-02-09,51.86,52.17,51.41,51.85,19448
2010-02-10,51.6,51.93,51.34,51.71,33443
2010-02-11,51.66,52.05,51.43,51.99,8131
2010-02-12,,,,51.85,0
2010-02-16,52.15,52.8,52.15,52.8,9687
2010-02-17,53.02,53.02,52.78,52.88,8916
2010-02-18,52.79,53.31,52.79,53.24,12312
2010-02-19,53.09,53.48,53.05,53.28,8187
2010-02-22,53.55,53.58,53.23,53.58,35379
2010-02-23,53.28,53.43,52.68,52.73,5080
2010-02-24,52.84,53.25,52.81,53.24,11773
2010-02-25,52.57,53.16,52.47,53.16,8612
2010-02-26,53.27,53.45,53.07,53.38,7368
2010-03-01,53.58,53.69,53.57,53.68,14912
2010-03-02,53.97,53.99,53.71,53.71,18042
2010-03-03,53.91,54.02,53.61,53.77,7990
2010-03-04,53.82,53.82,53.63,53.82,14305
2010-03-05,54.11,54.6,54.1,54.57,11025
2010-03-08,54.58,54.7,54.55,54.66,17932
2010-03-09,54.45,54.96,54.45,54.71,6461
2010-03-10,54.88,55.24,54.85,55.04,13738
2010-03-11,54.91,55.26,54.91,55.26,7906
2010-03-12,55.5,55.55,55.12,55.19,9858
2010-03-15,55.04,55.27,54.95,55.26,15741
2010-03-16,55.5,55.9,55.38,55.9,10299
2010-03-17,56.06,56.43,56.06,56.21,9404
2010-03-18,56.23,56.3,56.08,56.22,42823
2010-03-19,56.42,56.42,55.81,56.01,12933
2010-03-22,55.62,56.27,55.62,56.23,48493
2010-03-23,56.26,56.65,56.25,56.65,6530
2010-03-24,56.36,56.72,56.36,56.53,14088
2010-03-25,56.61,56.75,56.07,56.07,12595
2010-03-26,56.13,56.51,55.9,56.14,24035
2010-03-29,56.44,56.45,56.25,56.42,25653
2010-03-30,56.43,56.46,56.15,56.29,12777
